vehicle_id,route,distance_km,expected_time,actual_time,fuel_used,traffic
VH-001,Downtown Core Loop,48.0,95,108,5.8,moderate
VH-002,Northside Industrial,62.0,110,124,7.2,moderate
VH-003,Airport Connector,35.0,70,72,3.4,free
VH-004,South Port Freight,78.0,135,155,18.6,heavy
VH-005,East Residential Circuit,55.0,100,107,6.5,moderate
VH-006,West Cross-Town Express,42.0,85,96,5.1,moderate
VH-007,Downtown Core Loop,48.0,95,93,3.8,free
VH-008,Airport Connector,35.0,70,81,4.2,moderate
VH-009,East Residential Circuit,55.0,100,114,7.8,heavy
VH-010,Northside Industrial,62.0,110,118,7.0,moderate
VH-001,West Cross-Town Express,42.0,85,88,4.9,free
VH-002,South Port Freight,78.0,135,148,17.4,heavy
VH-003,Downtown Core Loop,48.0,95,101,5.4,moderate
VH-004,Airport Connector,35.0,70,70,3.2,free
VH-005,Northside Industrial,62.0,110,122,7.5,moderate
VH-006,East Residential Circuit,55.0,100,109,6.8,moderate
VH-007,South Port Freight,78.0,135,160,19.1,heavy
VH-008,Downtown Core Loop,48.0,95,105,5.7,moderate
VH-009,Airport Connector,35.0,70,68,3.1,free
VH-010,West Cross-Town Express,42.0,85,92,5.3,moderate
VH-001,Northside Industrial,62.0,110,128,8.1,heavy
VH-002,East Residential Circuit,55.0,100,103,6.2,moderate
VH-003,South Port Freight,78.0,135,142,16.8,moderate
VH-004,Downtown Core Loop,48.0,95,98,5.2,free
VH-005,Airport Connector,35.0,70,74,3.6,moderate
VH-006,Airport Connector,35.0,70,66,2.9,free
VH-007,Northside Industrial,62.0,110,116,6.9,moderate
VH-008,East Residential Circuit,55.0,100,118,7.6,heavy
VH-009,Downtown Core Loop,48.0,95,102,5.5,moderate
VH-010,South Port Freight,78.0,135,150,17.9,heavy
